age_output_age_metric,age_output_loss,face_output_binary_accuracy,face_output_loss,gender_output_loss,gender_output_sparse_categorical_accuracy,loss,val_age_output_age_metric,val_age_output_loss,val_face_output_binary_accuracy,val_face_output_loss,val_gender_output_loss,val_gender_output_sparse_categorical_accuracy,val_loss,learning_rate
9.418362617492676,181.4007568359375,0.8533192873001099,0.34566575288772583,0.560532808303833,0.7631187438964844,182.3213653564453,9.828629493713379,133.41415405273438,0.9523706436157227,0.13686151802539825,0.3640286922454834,0.8657718300819397,133.60862731933594,0.00027145122294314206
7.785040378570557,128.43226623535156,0.8803821206092834,0.2865939736366272,0.49440547823905945,0.7914806008338928,129.23692321777344,8.969576835632324,116.08917236328125,0.9599480628967285,0.1117004007101059,0.2807438373565674,0.8878545165061951,116.09317779541016,0.0002456192160025239
7.677675247192383,124.12216186523438,0.8873372673988342,0.26702094078063965,0.46893441677093506,0.8033612370491028,124.88066864013672,8.814640998840332,121.44182586669922,0.9608140587806702,0.1068025603890419,0.25897708535194397,0.896730899810791,121.39539337158203,0.00022224544954951853
7.686287879943848,122.4311294555664,0.8908824920654297,0.2622283399105072,0.4544450044631958,0.8099374771118164,123.16709899902344,8.716176986694336,116.5447769165039,0.9647109508514404,0.10370520502328873,0.26828256249427795,0.8962978720664978,116.50785064697266,0.0002010959869949147
7.6984992027282715,119.8496322631836,0.8941571116447449,0.2581331133842468,0.4442342519760132,0.8149440884590149,120.57465362548828,8.779423713684082,117.6766128540039,0.9644944667816162,0.09929019212722778,0.27798891067504883,0.8882874846458435,117.9177474975586,0.00018195917073171586
7.7185163497924805,117.80289459228516,0.8949960470199585,0.2554483115673065,0.43658700585365295,0.8168114423751831,118.51460266113281,8.614558219909668,115.84031677246094,0.9651439785957336,0.09302476048469543,0.24474284052848816,0.9040917754173279,115.81381225585938,0.00016464345389977098
7.695265293121338,116.14234161376953,0.8936158418655396,0.253255695104599,0.4284619987010956,0.8220616579055786,116.84369659423828,8.543481826782227,113.42189025878906,0.9636284708976746,0.09664637595415115,0.2606329023838043,0.9010608196258545,113.49418640136719,0.00014897555229254067
7.733397006988525,115.68851470947266,0.8955643773078918,0.2530994117259979,0.42032110691070557,0.8246055841445923,116.38203430175781,8.569280624389648,117.24613189697266,0.9649274945259094,0.09622146189212799,0.24733015894889832,0.9036588072776794,117.29185485839844,0.00013479863991960883
7.738328456878662,114.8438720703125,0.8956455588340759,0.2514807879924774,0.4150475263595581,0.8268517851829529,115.53465270996094,8.5471773147583,116.68128967285156,0.9653604626655579,0.09250278770923615,0.26839858293533325,0.8973804116249084,116.76861572265625,0.00012197085015941411
7.723850727081299,113.59182739257812,0.8972964286804199,0.25299322605133057,0.41351208090782166,0.8294227719306946,114.27793884277344,8.77114486694336,116.03916931152344,0.9664429426193237,0.08889864385128021,0.2598002552986145,0.8984628915786743,115.97386932373047,0.00011036378418793902
7.7496819496154785,112.34380340576172,0.8968363404273987,0.2507420778274536,0.4043707847595215,0.8336175084114075,113.01252746582031,8.760834693908691,115.89423370361328,0.9662264585494995,0.09463238716125488,0.25851550698280334,0.8997618556022644,115.83750915527344,9.98612740659155e-05
7.7477335929870605,112.77091979980469,0.8986495733261108,0.24800187349319458,0.39813968539237976,0.8363779187202454,113.4419937133789,8.654356956481934,117.35408020019531,0.9679584503173828,0.08995729684829712,0.25710877776145935,0.900627851486206,117.24365234375,9.035821130964905e-05
